site,ccv2m,ccv5m,chm,dem,disttowater,NDVI_max,NDVI_median,ndviresi,pisr_1,pisr_10,pisr_11,pisr_12,pisr_2,pisr_3,pisr_4,pisr_5,pisr_6,pisr_7,pisr_8,pisr_9,Pseudo_albedo,scd,shrubs,slope,snoweffect,snowresi,swi_suct2,swi_suct256,swi_suct64,swi_suct8,swi,tpi1000,tpi15,tpi250,tpi30,tpi500,tpi90,TWI_d8,TWI_Dinf,TWI_FD8f,watereffect,windexp,windexp100,ccv2m5,ccv5m5,chm5,eos1,eos3,moist_cv_july,moist_cv_summer,moist_max_july,moist_max_summer,moist_mean_july,moist_mean_summer,moist_min_july,moist_min_summer,moist_sd_july,moist_sd_summer,sos1,sos3,T1_FDD_days,T1_FDD,T1_ft,T1_GDD3_days,T1_GDD3,T1_GDD5_days,T1_GDD5,T1_max,T1_mean_1,T1_mean_10,T1_mean_11,T1_mean_12,T1_mean_2,T1_mean_3,T1_mean_4,T1_mean_5,T1_mean_6,T1_mean_7,T1_mean_8,T1_mean_9,T1_mean,T1_min,T1_TDD_days,T1_TDD,T3_FDD_days,T3_FDD,T3_frost,T3_ft,T3_GDD3_days,T3_GDD3,T3_GDD5_days,T3_GDD5,T3_max,T3_mean_1,T3_mean_10,T3_mean_11,T3_mean_12,T3_mean_2,T3_mean_3,T3_mean_4,T3_mean_5,T3_mean_6,T3_mean_7,T3_mean_8,T3_mean_9,T3_mean,T3_min,T3_TDD_days,T3_TDD,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15
MI11233,0,0,0,74379,19,613,440,8,0,690,43,0,294,1558,3867,6130,7435,6846,4800,2420,1392,158,0,124,212,3,1538,1098,1182,1313,1131,-1775,-2,-382,-12,-859,-38,493,864,996,91,977,991,0,0,0,281.1,275.88,0.06,0.1,52.97,55.77,48.69,49.1,43.19,41.41,2.8,4.27,161.66,164.7,188.48,-43.49,3.49,107.79,920.77,88.84,834.8,14.6,-0.32,1.2,0.07,-0.2,-0.46,-0.27,-0.21,-0.09,5,10.49,9.79,4.66,2.47,-1.25,173.17,971.9,234.42,-429.52,-6.61,84.12,103.48,1007.95,88.4,940.63,27.56,-2.29,-1.98,-3.03,-3.03,-1.45,-0.92,-0.46,-0.09,7.73,11.65,9.83,3.54,1.68,-10.95,129.4,1033.88,197,325,-204,53,-129,-48,48,18,-54,60,114,-12,-12,-29,-11
MI11232,0,0,0,74310,18,688,467,83,0,683,43,0,291,1543,3845,6106,7437,6829,4778,2403,1412,157,0,95,212,2,1545,1156,1166,1235,1016,-1792,2,-505,-6,-1001,-73,597,1040,1112,88,974,988,0,0,0,281.23,275.7,0.05,0.08,55.44,56.47,50.98,52.49,46.92,44.35,2.69,4.01,163.15,166.37,133.22,-47.42,3.37,106.75,932.1,89.38,858.46,14.86,-0.08,1.32,0.2,0,-0.29,-0.22,-0.1,0.02,4.56,10.81,10.04,4.75,2.55,-0.83,224.33,1006.99,218.52,-432.81,-5.59,77.51,104.45,1004.52,88.72,942.35,26.88,-2.14,-1.96,-3.04,-2.75,-1.56,-1.25,-0.62,-0.08,7.83,11.59,9.84,3.57,1.65,-10.9,146.65,1035.6,13,304,55,55,-88,-47,-95,163,-78,76,99,11,50,-6,49
MI11231,0,0,0,73956,8,716,504,108,0,761,44,0,318,1697,4073,6314,7584,7010,5004,2598,1553,159,0,426,212,4,1329,995,995,1016,947,-1670,-10,-531,-30,-983,-143,531,936,998,88,959,968,0,0,0,281.92,276.16,0.07,0.13,53.45,54.8,46.04,47.71,41.4,36.19,3.01,5.71,161.94,164.03,122.25,-50.06,2.91,111.05,946.14,92.27,871.24,14.74,-0.16,1.55,0.29,-0.01,-0.3,-0.3,-0.12,0.03,5,10.58,9.93,5.05,2.59,-0.72,232.33,1013,228.38,-493.62,-5.14,72.36,103.43,985.86,87.8,930.05,26.31,-2.5,-2.01,-3.19,-2.93,-2.01,-1.59,-0.83,-0.14,7.39,11.48,9.8,3.61,1.42,-10.94,136.84,1023.03,-326,366,-171,73,-64,-51,-72,-23,-83,-16,72,63,39,34,35
MI11230,0,0,0,73759,15,693,471,84,0,670,43,0,286,1517,3805,6070,7389,6795,4738,2368,1485,153,0,29,235,-2,1647,1522,1533,1569,1259,-1519,-1,-435,-22,-870,-174,1015,1046,1234,98,956,956,0,0,0,281.29,275.76,0.07,0.1,54.49,55.93,49.06,49.01,43.65,41.61,3.05,5.55,161.47,165.87,188.04,-90.83,4.76,105.81,887.23,86.21,802.78,14.42,-0.47,1.25,-0.06,-0.33,-0.58,-0.5,-0.37,-0.22,4.35,10.35,9.74,4.64,2.4,-1.22,180.31,942.01,230.29,-558.22,-8.3,89.95,107.24,1007.03,90.16,941.01,26.53,-2.95,-2.23,-3.95,-3.49,-2.28,-1.71,-0.87,-0.09,8.31,11.52,9.69,3.5,1.32,-12.25,133.85,1045.26,-155,354,-212,157,-140,-68,38,121,-45,93,113,45,11,-56,62
MI11229,0,0,0,73733,19,608,452,-2,0,651,44,0,281,1483,3753,6024,7351,6750,4686,2323,1341,149,0,115,107,-6,1533,1437,1460,1494,1522,-1145,4,-107,5,-598,-59,586,573,580,97,994,992,0,0,0,281.24,275.59,0.05,0.09,52.23,54.77,47.9,48.87,43.87,40.98,2.31,4.01,156.5,160.92,189.94,-141.3,4.6,110.36,922.03,90.92,849.95,14.43,-0.87,0.99,-0.21,-0.58,-1.2,-0.83,-0.59,-0.22,5.57,10.45,9.85,4.59,2.22,-2.24,160.49,977.31,220.42,-650.28,-9.01,87.32,110.98,1044.52,93.41,974.33,26.61,-3.57,-2.35,-4.28,-3.9,-3.07,-2.24,-1.1,0.2,8.94,11.46,9.73,3.61,1.1,-14.02,145.39,1081.98,159,370,-63,2,-64,17,-84,-69,16,44,77,118,-54,-15,64
MI11228,0,0,0,74442,20,640,432,36,0,676,44,0,289,1532,3827,6093,7410,6791,4760,2386,1449,159,0,142,212,4,1254,1163,1179,1224,1053,-1119,-8,-225,-17,-800,-15,718,1106,1142,89,990,994,0,0,0,281.15,275.66,0.04,0.07,54.57,55.86,50.16,52.06,48.22,45.69,2.27,3.59,162.7,165.85,188.94,-76.18,3.88,105.96,924.7,88.25,846,14.96,-0.39,1.18,-0.01,-0.28,-0.57,-0.45,-0.38,-0.23,4.82,10.68,9.91,4.63,2.39,-1.12,169.19,969.16,236.53,-487.3,-4.96,77.9,104.43,999.52,88.38,933.56,26.67,-2.47,-2.09,-3.16,-3.25,-1.79,-1.46,-0.75,-0.18,7.69,11.5,9.79,3.54,1.53,-11.62,129.27,1030.14,134,337,-63,-8,-158,-60,-49,19,-38,110,132,40,-31,-40,-11
MI11227,0,0,0,74054,1,618,470,11,0,708,44,0,301,1596,3921,6179,7475,6870,4853,2464,1628,155,0,362,186,0,1257,1141,1141,1139,1052,-1163,0,-173,18,-718,-25,817,1173,1138,98,999,1003,0,0,0,281.32,275.75,0.05,0.08,51.84,53.97,48.46,48.47,44.57,41.53,2.37,4.18,159.31,163.76,192.6,-85.05,4.09,107.73,924.55,88.83,844.45,14.75,-0.51,1.16,-0.07,-0.45,-1.02,-0.56,-0.39,-0.16,5,10.48,9.89,4.68,2.37,-2.3,171.49,964.62,222.24,-592.07,-6.46,85.01,109.43,1032.75,92.57,964.49,26.92,-3.54,-2.06,-3.89,-3.81,-2.86,-2.15,-1.05,0.14,8.68,11.58,9.82,3.65,1.31,-11.99,144.37,1069.77,59,395,-95,9,-26,86,-60,67,-37,61,70,41,-7,-3,30
MI11226,0,0,0,73707,6,651,477,41,0,707,44,0,300,1594,3921,6178,7477,6889,4866,2466,1370,155,0,218,172,0,1481,1337,1380,1441,1336,-1073,-12,-57,-25,-549,-57,437,566,687,96,993,984,0,0,0,281.66,275.76,0.05,0.07,54.79,55.16,49.34,50.33,48.24,45.56,2.17,3.28,161.19,165.56,167.64,-65.71,4.07,110.13,900.2,90.59,815.31,13.6,-0.32,1.61,0.22,-0.13,-0.51,-0.45,-0.26,-0.13,4.42,10.04,9.68,4.88,2.44,-0.92,183.29,966.94,230.68,-526.78,-6.7,82.03,107.58,1009.58,90.48,943.28,26.11,-2.86,-2.17,-3.56,-3.09,-2.22,-1.66,-0.85,-0.13,8.32,11.32,9.7,3.54,1.37,-11.94,132.23,1044.01,-83,340,-145,32,-105,-25,-91,-39,16,20,77,42,10,-30,38
MI126,0,0,13,66438,134,759,582,97,0,657,41,0,282,1509,3655,5688,6783,6269,4438,2242,2050,137,0,3102,61,-16,433,433,433,433,441,4506,29,732,17,2215,-55,347,341,434,0,1059,1037,0,0,15,283.16,278.25,0.11,0.15,24.64,28.57,20.65,21.64,17.31,15.82,2.19,3.24,147.85,154.72,202.04,-418.65,6.32,118.06,956.6,95.78,856.09,14.13,-2.81,1.36,-0.85,-2.3,-2.51,-2.57,-1.23,0.23,5.21,9.94,9.74,5.27,1.66,-3.79,166.88,982.33,212.85,-941.42,-6.06,113.08,123.4,1201.84,103.67,1121.52,30.29,-5.81,-1.48,-4.62,-5.85,-5.07,-4.17,-1.86,1.75,10.25,12.09,10.54,4.25,0.84,-14.08,153.22,1253.28,-483,-117,205,45,23,-28,17,-19,46,-64,-141,-7,74,-44,108
MI206,0,0,4,71634,200,460,349,-165,0,462,43,0,221,1068,2981,5169,6562,5914,3841,1713,2198,139,0,1875,92,-15,401,401,401,401,413,7958,46,2858,151,5079,966,426,394,398,0,1122,1093,0,0,5,280.67,274.51,0.12,0.15,26.03,30.11,21.78,21.18,17.53,16.54,2.35,3.27,148.67,152.67,221.08,-857.19,8.02,112.22,934.96,92.02,845.17,16.33,-5.54,0.13,-2.46,-4.38,-6.17,-4.87,-2.91,-0.41,6.63,10.39,9.45,4.17,0.46,-8.77,141.25,974.42,223.1,-1239.56,-6.89,101.92,115.67,1064.19,94.85,978.03,25.96,-7.64,-2.22,-6.01,-7.47,-7.33,-6.14,-3.39,0.41,8.86,11.42,9.85,3.66,-0.42,-17.24,144.48,1100.66,1135,-46,-107,69,35,87,54,-17,-5,5,-66,-8,17,-23,4
MI11201,0,0,4,83049,27,523,389,-20,0,450,44,0,223,1061,3080,5395,6828,6165,4013,1757,1721,140,0,1218,34,-17,620,557,557,557,553,10648,8,857,3,3037,244,502,482,549,0,1062,1040,0,0,4,279.89,272.39,0.11,0.18,27.44,32.63,22.58,22.44,18.72,17.18,2.45,3.51,148.32,153.35,224.63,-718.84,10.32,107.76,871.13,87.81,794.78,15.39,-4.29,-0.14,-1.92,-3.4,-4.26,-4.52,-2.9,-0.84,6.71,10.08,8.99,3.44,0.56,-6.18,139.85,923.6,224.43,-1194.58,-8.66,98.12,111.28,987.99,89.62,902.99,25.15,-6.95,-2.78,-4.93,-6.82,-6.58,-5.92,-3.4,0.09,8.73,10.84,9.08,2.89,-0.56,-15.47,141.37,1039.75,868,-66,28,-15,3,-9,46,-88,44,24,-24,54,-0,34,1
MI11202,0,0,3,84897,115,552,434,23,0,485,44,0,224,1231,3372,5691,7096,6450,4317,1995,1709,140,0,718,12,-18,628,619,619,619,588,12332,3,-67,15,3825,-9,775,601,618,0,1045,1006,0,0,3,280.41,272.44,0.12,0.2,29.28,36.84,23.82,24.28,19.37,17.99,2.57,4.38,149.26,155.82,224.57,-523.34,9.76,107.51,837.26,85.98,770.51,15.46,-3.18,0.08,-1.59,-2.49,-3.54,-3.38,-2,-0.69,5.78,9.97,8.99,3.46,1.08,-4.74,141.11,894.11,225.96,-1039.48,-8.24,100.53,107.48,970.64,85.25,868.48,25.05,-5.83,-2.76,-4.49,-5.96,-5.61,-4.91,-2.71,-0.07,7.94,10.73,8.92,2.82,-0.04,-14.57,139.07,999.16,501,86,14,123,-29,-2,62,18,47,-26,-27,10,-19,-2,-1
MI11203,0,0,5,87233,59,453,359,-59,0,558,44,0,224,1314,3503,5824,7215,6579,4453,2108,1510,136,0,453,68,-23,872,645,650,666,670,12827,-8,459,70,4304,404,537,616,663,0,1086,1064,0,0,5,278.62,272.04,0.12,0.18,29.2,35.68,23.35,23.42,19.56,17.57,2.44,4.07,147.62,152.29,227.74,-760.06,10.94,107.58,870.86,87.6,788.65,16.05,-4.68,-0.13,-2.12,-3.69,-5.84,-4.88,-3.02,-0.87,7.09,10.21,9.15,3.25,0.35,-8.29,135.56,922.12,226.42,-1314.2,-10.46,110.81,106.05,947.58,85.88,852.24,24.89,-7.7,-2.99,-5.83,-7.39,-7.71,-6.72,-3.49,-0.29,8.44,10.54,8.89,2.64,-0.7,-17.08,138.15,985.35,952,25,16,118,39,42,33,-67,52,71,-16,-12,-18,-29,-34
MI11204,0,0,0,88790,132,459,301,-42,0,372,43,0,218,592,2840,5209,6682,6006,3822,1081,1419,180,0,1208,512,21,610,604,604,604,573,13917,-31,1826,-179,5796,-198,459,593,606,0,1056,992,0,0,0,277.67,271.35,0.22,0.37,36.33,45.35,23.55,24.9,16.8,14.78,4.34,8.41,170.1,172.99,244.95,-403.06,6.01,90.53,744.62,73.21,681.91,14.74,-2,0.12,-1.12,-1.69,-2.11,-2.47,-2.15,-1.03,2.42,9.9,9.04,3.11,1.03,-2.96,124.99,787.87,253.25,-864.1,-1.27,48,87.34,802.67,71.58,726.72,23.09,-4.11,-2.94,-4.18,-4.64,-3.75,-3.58,-2.67,-1.18,3.99,10.26,8.78,2.46,-0.06,-12.12,110.74,816.45,1145,-110,-84,11,-1,-39,59,-67,-28,50,55,39,7,1,26
MI11205,0,0,0,90385,83,511,394,21,0,415,44,0,223,1039,3086,5424,6880,6213,4037,1757,1514,150,0,985,264,-9,699,705,705,705,684,13976,43,2009,106,5840,455,538,790,704,0,1114,1060,0,0,0,278.86,271.3,0.13,0.21,30.69,38.93,24.03,25.91,21.11,18.96,2.71,4.82,153.95,158.43,228,-820.06,9.23,103.39,824.06,84.12,743.53,14.95,-4.73,-0.07,-2.1,-3.62,-5.57,-5.09,-3.32,-1.21,5.5,9.6,8.74,3.29,0.02,-8.18,138.31,869.81,233.1,-1355.67,-7.05,91.9,103.36,915.53,83.15,834.42,24.36,-7.42,-3.2,-5.85,-6.88,-7.92,-6.83,-3.82,-0.69,8.03,10.41,8.72,2.46,-0.96,-15.85,133.18,952.62,683,65,85,82,-68,-132,107,-100,-16,8,-101,-8,-28,19,50
MI11206,0,0,4,91786,155,465,341,-15,0,432,44,0,223,1071,3131,5469,6919,6253,4080,1781,1541,143,0,948,167,-17,998,453,453,668,604,11738,9,-95,35,3238,1,450,459,451,0,1044,1012,0,0,4,278.28,271.47,0.11,0.19,28.3,34.81,23.31,24.95,19.34,18.07,2.57,4.43,153.51,158.71,230.43,-586.64,8.49,104.07,843.48,85.22,767.88,15.22,-3.28,-0.1,-1.62,-2.52,-3.69,-3.44,-2.35,-1.01,5.5,10.07,9.04,3.25,0.86,-5.14,132.23,888.71,234.89,-1023.38,-8.01,91.04,100.85,896.11,81.77,814.29,24.57,-5.49,-3.09,-4.72,-5.69,-5.38,-4.83,-2.92,-0.7,7.83,10.33,8.6,2.4,-0.34,-13.91,131.89,930.5,973,93,-83,139,-23,23,99,-129,-29,41,17,-18,1,-8,-7
MI11207,0,0,1,89163,40,470,327,-29,0,523,44,0,224,1229,3372,5685,7082,6437,4311,1991,1758,144,0,940,62,-15,708,464,464,464,441,9827,20,628,103,2172,179,455,444,462,0,1077,1061,0,0,1,278.28,271.45,0.12,0.18,25.94,31.43,21.7,20.84,17.12,15.98,2.39,3.3,148.87,152.41,228.41,-815.24,10.49,106.49,869.94,86.75,786.49,15.78,-4.93,-0.46,-2.34,-4.05,-5.74,-5.1,-3.44,-1.13,6.92,10.06,8.99,3.14,0.1,-7.96,135.81,911.1,228.79,-1337.56,-8.4,96.85,104.87,927.49,83.53,823.33,24.7,-7.72,-3.28,-5.92,-7.41,-7.57,-6.61,-3.93,-0.51,7.88,10.46,8.74,2.49,-1.02,-16.59,135.76,952.36,1323,-140,20,82,36,65,-4,-4,73,-33,-135,28,-17,2,43
MI11208,0,0,2,87232,94,609,464,97,0,380,44,0,222,956,3202,5532,6967,6309,4151,1839,1572,158,0,826,212,-1,592,592,592,592,554,9103,6,1525,70,2370,637,580,533,592,0,1070,1050,0,0,3,280.34,271.61,0.16,0.25,29.5,38.73,22.93,23.6,17.15,15.96,3.2,5.53,151.47,160.33,225.44,-890.5,7.93,101.96,771.67,80.19,669.21,13.32,-5.39,0.22,-1.9,-4.16,-5.8,-5.8,-3.93,-1.36,4.83,8.97,8.39,3.45,-0.29,-7.97,137.66,824.61,228.72,-1516.12,-4.39,109.3,108.23,960.04,87.1,871.64,24.42,-8.37,-2.92,-5.61,-7.66,-8.64,-7.31,-4.35,-0.24,8.44,10.5,8.84,2.66,-1.22,-17.85,137.67,998.52,180,220,-6,70,15,85,52,-21,-32,78,-40,36,-28,41,-46
MI1043,0,0,0,77424,7,623,453,40,0,380,43,0,222,964,3489,5796,7175,6544,4437,2099,1630,162,0,438,297,6,1234,1141,1161,1194,1059,-415,3,-638,-30,-627,-231,541,995,1150,89,995,979,0,0,0,280.91,272.72,0.05,0.07,45.97,49.54,41.97,43.23,40.05,37.25,2.15,3.42,162.12,165.12,215.22,-148.36,5.56,102.74,869.76,84.78,784.07,15.07,-0.93,0.74,-0.32,-0.61,-0.89,-0.82,-0.64,-0.42,4.68,10.32,9.48,3.94,1.97,-1.96,138.08,909.2,237.05,-649.7,-3.04,65.83,103.9,989.32,87.3,919.31,25.45,-3.52,-2.37,-3.99,-3.77,-2.6,-2.13,-1.26,-0.29,7.53,11.3,9.57,3.38,0.97,-12.51,128.21,1021.62,58,290,-90,-15,-63,-0,52,-28,0,18,36,12,28,-45,30
MI11222,0,0,0,74628,23,576,433,-27,0,383,44,0,224,1067,3095,5405,6836,6178,4027,1768,1769,143,0,1072,145,-12,924,427,427,427,426,928,138,476,279,-13,512,390,431,426,12,1067,1092,0,0,0,281.01,273.11,0.12,0.16,26.23,30.49,22.12,22.08,17.78,15.93,2.36,3.47,148.12,153.77,220.62,-812.24,8.97,109.52,871.64,87.01,784.92,14.67,-5.03,0.1,-2.2,-4.26,-6,-4.98,-3.07,-0.81,6.19,9.85,9.05,3.86,0.22,-9.57,139.92,915.04,221.95,-1350.34,-7.16,109.79,115.04,1060.11,93.79,968.28,25.56,-8.27,-2.52,-6.1,-7.85,-7.98,-6.87,-3.56,0.41,9.1,11.46,9.7,3.46,-0.58,-18.13,144.3,1095.48,606,0,131,71,-1,183,-50,-117,37,-31,-33,-20,-37,56,70
MI11219,0,0,5,73098,117,635,474,21,0,372,42,0,217,595,2131,4432,5955,5258,3057,767,1923,166,0,2077,312,12,610,610,610,610,631,3405,-23,72,-50,164,1,480,641,610,0,1025,1018,0,0,5,280.9,272.69,0.11,0.14,39.08,44.41,31.29,31.84,27.29,24.9,3.06,4.73,165.47,168.69,235.28,-308.64,4.2,96.94,769.94,76.76,676.79,13.71,-1.43,0.44,-0.91,-1.51,-1.49,-1.82,-1.48,-0.69,3.39,9.49,8.69,3.59,1.36,-2.6,128.23,814.85,243.05,-669.86,-1.2,53.82,99.3,960.89,84.22,905.71,24.78,-3.07,-2.18,-3.69,-4.06,-2.7,-2.75,-1.92,-0.59,6.52,11.49,9.77,3.4,0.88,-12.12,122.84,987.18,551,-100,813,180,-85,133,17,-169,-136,57,-55,84,1,-91,-63
MI1186,0,0,0,70713,20,681,498,50,0,684,44,0,280,1549,3847,6114,7418,6821,4783,2400,1601,155,0,488,148,1,1281,1098,1099,1136,1083,-780,-8,-30,-14,-81,-52,574,926,1102,79,987,987,0,0,0,281.6,276.19,0.07,0.13,45.23,51.63,41.81,43.29,38.87,35.28,2.5,4.11,158.69,163.35,180.23,-114.94,5.19,109.99,924.88,89.89,836.96,14.38,-0.66,1.27,-0.02,-0.53,-0.87,-0.64,-0.46,-0.18,4.77,10.29,9.83,4.8,2.34,-1.32,163.54,976.79,226.98,-598.61,-7.58,83.83,110.09,1045,92.86,981.76,27.42,-3.32,-2.12,-4.09,-3.69,-2.71,-2.07,-1.1,0.11,8.67,11.73,10.01,3.79,1.25,-12.5,140.45,1088.94,-226,329,-171,-75,-6,71,-60,-57,-64,3,50,35,12,-29,47
MI903,0,0,3,66182,37,588,444,-76,0,722,43,0,244,1629,3938,6144,7383,6810,4840,2484,1383,147,0,1279,55,-5,895,321,321,373,364,-2607,113,-199,255,-1040,444,284,306,320,0,1052,1117,0,0,3,282.6,277.5,0.11,0.15,23.93,27.8,20.05,20.85,16.56,14.37,2.19,3.13,146.97,150.32,210.77,-657.87,7.86,120.55,1020.76,98.37,931.87,15.41,-4.17,0.78,-1.74,-3.41,-5.38,-4.07,-2.08,0.29,7.61,10.66,10.1,5,1.35,-8.99,156.55,1051.74,212.69,-1155.23,-11.28,130.85,124.41,1173.9,104.35,1107.28,27.98,-7.63,-1.82,-5.46,-7.15,-7.6,-5.8,-2.58,1.44,10.17,12.04,10.31,4.14,0.17,-17.99,154.61,1220.42,411,67,48,17,-48,58,-50,137,-1,81,-22,-85,-11,6,45
MI862,0,0,3,65360,5,735,543,65,0,679,44,0,225,1538,3830,6088,7405,6808,4760,2391,1457,158,0,230,212,6,1451,1369,1387,1416,1273,-3168,-13,-328,-57,-1288,-180,818,1315,1313,97,955,953,0,0,3,282.05,277.48,0.07,0.14,48.22,52.77,43.31,43.67,38.39,34.7,2.69,5.07,159.66,163.52,191.16,-82.5,4.09,111.85,932.57,91.45,858.59,14.74,-0.51,1.48,-0.01,-0.38,-0.62,-0.52,-0.41,-0.15,4.82,10.61,10.01,5.08,2.47,-1.06,171.26,991.72,229.9,-530.95,-10.25,87.25,109.06,1072.18,93.06,1016.58,27.74,-2.7,-1.83,-3.59,-3.5,-2.25,-1.76,-0.92,-0.05,8.67,12,10.25,4.09,1.49,-12.2,134.11,1108.02,-406,311,-132,133,-19,137,-14,2,-65,67,1,-5,27,-14,10
MI815,0,0,0,66289,4,676,554,13,0,423,43,0,223,1175,3321,5617,7005,6368,4252,1920,1653,155,0,824,112,3,1294,910,1025,1169,1110,-3766,-28,-253,-55,-908,-115,396,414,463,89,980,982,0,0,0,281.49,275.91,0.08,0.1,34.51,37.56,30.32,31.47,28.11,26.53,2.26,3.24,158.95,163.91,205.61,-145.79,4.92,109.09,897.69,88.23,793.19,13.98,-0.91,0.95,-0.28,-0.77,-0.69,-0.86,-0.53,-0.34,4.29,10.18,9.58,4.42,2.12,-1.66,146.17,934.29,231.22,-619.42,-6.54,76.32,108.7,1068.68,92.03,999.17,27.82,-3.35,-1.92,-3.83,-3.68,-2.75,-2.15,-1.22,-0.11,8.55,12.04,10.05,3.85,1.3,-12.82,133.33,1103.37,-124,119,105,-202,55,16,28,28,50,-26,-11,26,20,-11,-24
MI215,0,0,6,62013,108,627,497,-67,0,411,43,0,222,935,2827,5106,6539,5883,3739,1567,1360,150,0,1477,193,-1,756,292,292,338,303,-464,73,-278,75,-273,-73,244,245,289,0,1041,1040,0,0,6,282.46,277.05,0.12,0.16,22.62,27.13,18.43,19.42,15.37,14.01,2.19,2.97,152.12,158.54,215.09,-457.9,5.82,112.53,884.18,89.43,788.23,13.89,-2.82,0.94,-1.16,-2.25,-3.1,-2.76,-1.76,-0.41,5.21,9.88,9.21,4.51,1.44,-5.22,147.08,940.74,220.16,-911.7,-5.92,88.4,118.34,1175.35,101.6,1106.14,27.88,-5.41,-1.95,-4.59,-5.86,-4.83,-3.95,-2.09,0.6,10.15,12.32,10.52,4.27,0.7,-14.96,146.09,1206.17,155,139,68,-69,-46,88,-57,24,38,66,-57,46,-41,-43,-1
MI11221,0,0,4,65705,82,585,469,-82,0,678,44,0,225,1570,3881,6148,7449,6858,4825,2435,1430,149,0,167,12,-3,1262,508,519,656,558,-2711,36,505,92,-417,297,463,478,497,9,1052,1086,0,0,4,282.49,276.9,0.11,0.17,23.48,28.48,20.56,20.04,16.14,14.86,2.19,3.24,147.15,150.64,214.49,-654.54,7.32,120.08,991.91,96.73,894.86,15.12,-4.27,0.7,-1.87,-3.59,-4.97,-4.01,-2.26,-0.01,7.36,10.36,9.79,4.84,1.05,-8.03,154.22,1018.71,213.06,-1261.73,-11.28,115.46,122.74,1190.66,103.81,1107.94,27.95,-8.09,-2.08,-6.22,-7.68,-7.54,-6.01,-2.89,1.05,10.2,12.12,10.26,4.08,-0.1,-18.74,151.18,1222.72,311,106,-5,-87,50,63,-9,-26,83,0,26,33,20,9,-10
MI751,0,0,1,67230,58,688,552,32,0,884,42,0,342,1952,4388,6494,7609,7088,5257,2878,1362,160,0,2119,212,7,678,678,678,678,773,-1532,-9,-394,-39,-239,-125,441,663,672,0,1015,1009,0,0,2,282.36,278.78,0.1,0.14,28.86,32.21,24.13,25.14,19.95,18.52,2.3,3.4,158.83,162.67,209.02,-167.26,5.19,113.87,986.18,94.94,905.07,15.7,-1.02,1.32,-0.38,-0.83,-1.05,-0.99,-0.66,-0.27,5.92,10.87,10.3,5.16,2.37,-1.68,159.07,1025.15,227.53,-573.61,-6.46,82.51,109.97,1084.23,93.85,1021.31,29.17,-3.08,-1.52,-3.21,-3.47,-2.57,-2.09,-1.08,-0.08,8.77,12.05,10.41,4.11,1.46,-10.94,137.19,1120.13,-249,273,19,-19,-88,43,60,127,9,28,10,19,85,-39,69
MI871,0,0,6,69702,163,649,514,11,0,764,43,0,304,1709,4074,6300,7544,6973,4995,2596,1324,152,0,920,112,-1,660,660,660,660,689,-140,2,666,-3,940,80,774,648,657,0,1043,1022,0,0,4,282.03,277.18,0.11,0.17,24.18,32.76,21.28,20.39,17.82,16.66,2.13,3.5,152.87,157.87,214.43,-349.62,5.67,115.26,958.32,94.73,882.01,14.89,-2.18,0.99,-0.8,-1.67,-2.38,-2.21,-1.29,-0.22,6.03,10.47,9.87,4.88,1.8,-4.01,155.21,996.17,221.18,-873.77,-9.84,90.92,115.25,1123.42,98.56,1061.76,28.84,-5.05,-2.01,-4.64,-5.35,-4.66,-3.65,-1.83,0.48,9.93,12.07,10.27,4.04,0.79,-13.68,144.31,1176.91,-36,87,-68,-53,-31,-107,87,-13,55,-7,0,25,63,4,-37
MI991,0,0,0,70456,104,603,487,-30,0,753,44,0,297,1681,4048,6302,7574,6998,4993,2579,1430,154,0,396,188,0,791,715,715,724,692,-485,-5,263,0,407,113,605,689,714,0,1031,1028,0,0,0,281.49,276.36,0.11,0.17,25.83,34.24,22.11,22.75,18.3,16.58,2.08,3.77,153.93,158.09,220.84,-365.95,5.57,113,963.89,93.36,901.17,15.38,-2.18,0.66,-1.08,-1.86,-2.62,-2.27,-1.4,-0.33,5.74,10.48,9.9,4.66,1.56,-4.17,149.96,997.06,222.95,-906.8,-9.28,89.46,112.41,1089.75,95.98,1022.12,27.82,-5.27,-2.32,-4.73,-5.37,-4.62,-3.8,-1.89,0.21,9.23,11.8,10.21,3.89,0.53,-14.08,140.46,1141.14,168,170,93,-90,7,-92,16,57,71,-47,21,7,17,56,0
MI1111,0,0,0,70206,17,578,463,-57,0,677,43,0,279,1536,3822,6076,7372,6756,4747,2379,1455,164,0,671,312,10,1031,793,858,940,898,-1799,-7,-979,-48,-1016,-210,631,809,788,77,936,957,0,0,0,281.49,276.4,0.08,0.11,38.41,43.26,33.44,34.42,30.76,28.89,2.2,3.5,162.4,164.64,217.02,-197.34,5.55,106.95,953.09,90.3,893.51,16.1,-1.17,0.71,-0.68,-1,-1.11,-1.04,-0.68,-0.3,4.54,10.81,10.18,4.71,2.16,-2.31,152.71,998.97,232.13,-639.59,-4.21,69.28,103.65,1025.63,88.82,959.11,26.97,-3.21,-2.1,-3.74,-3.83,-2.67,-2.03,-1.25,-0.12,6.88,11.83,10.18,3.92,1.14,-12.57,135.82,1065.19,308,96,-58,-85,47,-56,38,8,69,-13,40,-20,-35,20,-35
