site,ccv2m,ccv5m,chm,dem,disttowater,NDVI_max,NDVI_median,ndviresi,pisr_1,pisr_10,pisr_11,pisr_12,pisr_2,pisr_3,pisr_4,pisr_5,pisr_6,pisr_7,pisr_8,pisr_9,Pseudo_albedo,scd,shrubs,slope,snoweffect,snowresi,swi_suct2,swi_suct256,swi_suct64,swi_suct8,swi,tpi1000,tpi15,tpi250,tpi30,tpi500,tpi90,TWI_d8,TWI_Dinf,TWI_FD8f,watereffect,windexp,windexp100,ccv2m5,ccv5m5,chm5,eos1,eos3,moist_cv_july,moist_cv_summer,moist_max_july,moist_max_summer,moist_mean_july,moist_mean_summer,moist_min_july,moist_min_summer,moist_sd_july,moist_sd_summer,sos1,sos3,T1_FDD_days,T1_FDD,T1_ft,T1_GDD3_days,T1_GDD3,T1_GDD5_days,T1_GDD5,T1_max,T1_mean_1,T1_mean_10,T1_mean_11,T1_mean_12,T1_mean_2,T1_mean_3,T1_mean_4,T1_mean_5,T1_mean_6,T1_mean_7,T1_mean_8,T1_mean_9,T1_mean,T1_min,T1_TDD_days,T1_TDD,T3_FDD_days,T3_FDD,T3_frost,T3_ft,T3_GDD3_days,T3_GDD3,T3_GDD5_days,T3_GDD5,T3_max,T3_mean_1,T3_mean_10,T3_mean_11,T3_mean_12,T3_mean_2,T3_mean_3,T3_mean_4,T3_mean_5,T3_mean_6,T3_mean_7,T3_mean_8,T3_mean_9,T3_mean,T3_min,T3_TDD_days,T3_TDD,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15
MI265N,0,0,0,59818,7,745,593,36,0,697,44,0,286,1598,3913,6155,7435,6853,4838,2461,1415,149,0,609,15,-2,1579,878,1146,1439,1404,-2400,-1,-397,-35,-943,-255,336,614,783,83,957,964,0,0,0,283.12,278.91,0.09,0.13,35.17,41.02,30.96,30.34,27.48,25.4,2.24,3.95,155.25,160.42,199.29,-118.22,4.53,117.21,973.6,93.86,876.78,13.73,-0.67,1.58,-0.08,-0.56,-0.77,-0.73,-0.48,-0.12,5.06,9.94,9.93,5.2,2.42,-1.76,166.22,1013.85,217.68,-615.54,-12.31,97.39,118.9,1193.56,101.63,1108.92,29.04,-3.39,-1.67,-4.24,-3.88,-3.05,-2.2,-1.06,0.82,10.25,12.41,10.51,4.4,1.5,-13.11,145.44,1235.55,-362,-24,146,-49,51,-5,16,27,45,39,-102,-50,67,-21,2
MI265E,0,0,0,59819,5,710,555,1,0,780,43,0,308,1773,4167,6374,7594,7032,5084,2680,1384,153,0,935,112,2,1557,1220,1304,1458,1476,-2462,-9,-454,-40,-1023,-269,643,824,782,89,952,958,0,0,0,283.34,279.16,0.07,0.12,38.33,45.97,34.38,34.27,31.61,28.21,2.26,3.99,157.34,161.47,198.47,-123.54,4.43,115.05,1006.49,95.39,913.1,14.74,-0.71,1.53,-0.13,-0.6,-0.83,-0.71,-0.55,-0.18,5.33,10.86,10.4,5.38,2.46,-1.98,161.31,1040.38,225.7,-561.52,-10.01,85.98,115.92,1160.14,99.53,1083.57,28.46,-3.07,-1.62,-3.89,-3.48,-2.52,-1.86,-0.95,0.29,9.13,12.34,10.62,4.44,1.54,-12.51,140.33,1186.05,-280,19,93,40,-42,28,60,10,36,98,-47,-103,85,-27,28
MI265S,0,0,0,59760,2,751,556,41,0,599,43,0,257,1394,3612,5877,7218,6619,4540,2208,1454,153,0,330,168,2,1689,1620,1632,1662,1560,-2459,-27,-453,-72,-1022,-293,944,954,1339,99,934,934,0,0,0,283.09,279.36,0.05,0.11,42.13,46.5,38.89,39.51,37.7,33.99,2.09,3.87,158.03,161.82,207.03,-115.02,4.04,116.6,1015.16,95.18,932.18,14.79,-0.76,1.56,-0.15,-0.52,-0.94,-0.69,-0.53,-0.17,5.84,10.79,10.43,5.45,2.56,-1.79,169.45,1035.74,224.09,-545.63,-13.43,98.27,116.75,1142.72,99.45,1076.08,28.49,-2.96,-1.54,-3.83,-3.48,-2.33,-1.7,-0.89,0.41,9.44,12.16,10.42,4.31,1.71,-12.64,142.62,1165.86,-113,-194,-36,-21,25,-83,21,70,-163,121,39,-78,32,-37,-102
MI271N,0,0,4,60941,174,720,579,19,0,712,44,0,291,1631,3965,6206,7481,6902,4895,2504,1297,156,0,565,112,5,879,720,720,721,713,-2170,2,-28,-4,-429,38,726,613,717,0,1018,1014,0,0,3,283.18,278.45,0.12,0.18,25.62,32.66,21.18,21.48,17.87,15.07,2.32,4.06,154.55,159.16,199.55,-214.41,4.66,115.61,920.99,93.06,851.74,13.8,-1.35,1.46,-0.47,-1.07,-1.33,-1.36,-0.82,-0.16,5.63,10.45,9.9,5.2,2.23,-2.09,167.35,986.51,223.33,-759.89,-9.68,91.26,116.08,1170.85,100.51,1100.59,29.53,-4.39,-1.86,-4.39,-4.79,-3.58,-2.88,-1.33,0.32,9.99,12.4,10.57,4.41,1.28,-13.54,141.72,1210.07,-348,172,2,132,-75,-71,39,-72,94,68,-14,6,-74,-12,8
MI271E,0,0,3,60969,178,723,590,22,0,692,44,0,286,1582,3887,6131,7413,6828,4812,2437,1384,156,0,703,112,5,831,732,732,732,743,-2180,-6,-26,-14,-416,23,782,633,725,0,1015,1009,0,0,3,283.15,278.68,0.11,0.19,25.23,33.16,23.22,21.9,18.84,17.19,2.19,3.96,155.51,160.07,207.89,-201.27,4.81,115.53,939.8,93.69,869.43,14.01,-1.21,1.45,-0.41,-1.01,-1.2,-1.23,-0.79,-0.15,5.56,10.41,9.96,5.25,2.22,-1.81,168.52,981.6,223.63,-715.5,-8.93,90.33,115.95,1161.12,100.11,1097.03,29.71,-4.07,-1.81,-4.24,-4.56,-3.32,-2.67,-1.33,0.3,9.74,12.43,10.56,4.39,1.33,-13.03,141.4,1198.55,-322,111,-22,45,-30,-153,53,-88,57,53,-62,21,23,-34,-61
MI271S,0,0,0,60892,182,719,585,17,0,707,44,0,290,1621,3949,6192,7468,6888,4878,2491,1401,156,0,579,112,5,889,781,781,781,773,-2170,-22,-28,-35,-429,3,887,727,773,0,1008,999,0,0,0,283.2,279.12,0.12,0.2,23.91,32.92,21.57,21.07,17.86,16.08,2.17,3.88,155.48,159.72,206,-186.54,5.08,116.37,964.09,94.98,878.83,14.31,-1.16,1.55,-0.39,-1.05,-1.07,-1.16,-0.67,-0.15,5.58,10.57,10.04,5.29,2.24,-1.68,172.12,1008.29,223.91,-693.77,-9.09,87.73,115.34,1172.61,99.73,1094.41,29.95,-4.07,-1.78,-4.13,-4.56,-3.11,-2.4,-1.27,0.25,9.56,12.44,10.58,4.43,1.37,-13.22,141.38,1203.84,-308,113,3,-90,19,-130,54,-31,98,33,-40,-9,30,-7,-19
MI271W,0,0,0,60873,180,718,567,16,0,690,44,0,284,1586,3899,6147,7437,6853,4833,2448,1292,156,0,458,112,5,936,745,745,755,726,-2170,-11,-28,-10,-429,33,605,647,740,0,1014,1009,0,0,0,283.11,278.95,0.11,0.18,24.81,32.79,21.52,21.79,17.84,16.52,2.15,3.68,155.13,159.75,205.92,-192.2,4.82,116.28,953.3,94.01,866.4,14.2,-1.24,1.49,-0.43,-1,-1.25,-1.26,-0.73,-0.16,5.59,10.5,9.96,5.3,2.23,-1.93,171.63,997.56,223.53,-716.58,-9.69,91.42,115.96,1169.6,100.26,1100.94,29.42,-4.08,-1.83,-4.34,-4.62,-3.47,-2.7,-1.26,0.3,9.96,12.44,10.57,4.43,1.3,-13.53,141.68,1202.82,-272,84,-37,-100,-93,-101,29,-24,64,36,20,-16,22,-43,-19
MI277N,0,0,4,61891,94,767,605,72,0,886,44,0,358,1951,4418,6571,7703,7187,5307,2894,1304,152,0,1430,169,1,843,843,843,843,824,-3218,-17,-942,-52,-1826,-330,644,840,838,0,998,1001,0,0,4,283.35,279.89,0.14,0.21,27.13,36.85,23.06,23.57,18.56,17.48,2.49,4.2,154.74,159.62,197.12,-151.83,5.71,118.09,999.44,97.77,923.33,14.65,-0.92,1.63,-0.23,-0.72,-0.93,-0.9,-0.53,-0.04,6.11,10.71,10.31,5.49,2.59,-1.92,167.56,1043.4,223.62,-580.67,-8.49,84.59,116.93,1194.96,101.73,1130.96,30.78,-3.41,-1.53,-3.64,-3.87,-2.73,-1.95,-0.92,0.43,10.3,12.47,10.77,4.44,1.62,-11.61,142.84,1221.08,-596,60,-52,98,-107,106,105,-27,47,70,-59,-59,37,-37,15
MI277E,0,0,4,61894,90,751,597,57,0,864,44,0,352,1908,4353,6509,7672,7132,5243,2839,1297,152,0,1469,112,1,793,793,793,793,776,-3098,-15,-854,-48,-1728,-324,690,765,785,0,998,1001,0,0,4,283.11,279.27,0.13,0.2,25.86,35.25,22.16,22.18,18,15.79,2.45,4,154.02,158.77,193.83,-150.61,5.86,118.11,1014.4,98.48,938.01,14.55,-0.95,1.48,-0.26,-0.75,-0.98,-0.92,-0.55,-0.02,6.05,10.57,10.25,5.43,2.52,-2.01,166.89,1054.59,220.98,-577.07,-8.39,84.16,117.01,1188.47,102.09,1130.39,30.85,-3.31,-1.53,-3.6,-3.83,-2.78,-2,-0.97,0.46,10.3,12.45,10.73,4.39,1.61,-11.39,144.3,1215.73,-561,-30,-123,-1,-85,-19,177,-23,12,-4,-76,-1,15,2,85
MI277S,0,0,4,61718,84,742,595,46,0,849,44,0,347,1879,4311,6475,7648,7102,5203,2802,1277,149,0,1418,104,-2,787,787,787,787,767,-3218,-6,-942,-36,-1826,-340,906,747,779,0,995,1000,0,0,4,283.09,279.23,0.14,0.19,24.37,34.26,21.56,22.25,17.76,15.23,2.39,3.94,154.03,159.69,198.47,-172.63,5.05,118,991.07,96.69,918.59,14.41,-1.03,1.53,-0.32,-0.85,-1,-1.02,-0.58,-0.01,5.7,10.52,10.12,5.28,2.42,-2.05,166.32,1039.24,218.33,-612.6,-9.96,90.86,118,1192.89,102.58,1137.96,30.47,-3.46,-1.56,-3.72,-3.95,-2.97,-2.2,-1.11,0.64,10.47,12.43,10.69,4.37,1.55,-11.79,147.72,1227.9,-466,32,23,-42,18,47,143,62,1,43,-79,-7,-3,-15,24
MI277W,0,0,6,61703,90,765,607,69,0,899,44,0,364,1977,4452,6593,7719,7204,5338,2926,1280,152,0,1567,161,1,833,833,833,833,823,-3218,-15,-942,-47,-1826,-355,786,807,827,0,994,998,0,0,6,283.37,279.66,0.15,0.21,27.14,35.92,24.11,22.19,19.03,18.28,2.58,5.01,155.06,159.48,199.4,-151.07,5.4,117.84,998.02,97.42,917.38,14.8,-0.91,1.63,-0.23,-0.75,-0.91,-0.91,-0.51,-0.06,6.03,10.82,10.36,5.45,2.58,-1.93,166.39,1033.42,223.14,-586.65,-8.71,85.07,116.93,1204.17,101.72,1128.21,30.94,-3.46,-1.49,-3.58,-3.89,-2.72,-1.93,-0.93,0.43,10.28,12.48,10.77,4.45,1.63,-11.76,143.29,1233.02,-576,44,3,190,-132,-119,127,-16,94,38,-49,-68,24,-23,-24
MI289N,0,0,2,67854,90,628,480,-24,0,378,43,0,221,626,2361,4655,6161,5470,3279,1155,1647,146,0,1827,102,-7,519,519,519,519,542,2814,27,134,46,1081,166,565,457,517,0,1059,1041,0,0,3,281.54,274.26,0.12,0.16,25.1,30.44,21.03,20.73,16.84,15.62,2.32,3.64,152.67,157.92,222.78,-555.3,5.82,107.35,827.13,84.39,742.59,13.81,-3.34,0.67,-1.27,-2.66,-3.84,-3.33,-2.29,-0.59,4.99,9.62,8.91,4.08,1.04,-5.54,141.21,887.25,224.59,-1031.27,-5.08,81.97,115.32,1115.23,96.39,1037.34,26.92,-5.97,-2.14,-4.5,-6.15,-5.39,-4.7,-2.56,0.32,9.7,11.91,10.15,3.87,0.34,-14.8,139.9,1154.36,139,83,265,83,-83,-8,-29,-64,47,53,-109,56,58,-9,-40
MI289E,0,0,3,67976,87,651,499,0,0,381,43,0,222,682,2605,4911,6398,5718,3538,1383,1583,147,0,1549,191,-6,530,530,530,530,537,3239,43,260,70,1357,181,564,467,528,0,1061,1045,0,0,2,281.63,275.1,0.1,0.16,25.65,32.16,21.57,21.89,17.09,16.32,2.27,3.58,152.91,159.53,220.02,-534.79,6.11,108.6,857.67,86.59,773.06,13.66,-3.28,0.81,-1.21,-2.44,-3.58,-3.32,-2.05,-0.52,4.96,9.71,9.07,4.28,1.08,-5.1,143.58,916.13,221.62,-1025.68,-4.99,83.75,115.49,1111.52,96.62,1035.14,27.18,-5.97,-2.12,-4.9,-6.05,-5.51,-4.76,-2.47,0.36,9.78,11.99,10.16,3.92,0.31,-14.61,142.76,1143.44,217,41,152,-29,-41,-2,82,-77,-45,43,-37,4,49,10,-15
MI289S,0,0,1,68118,91,612,506,-38,0,383,43,0,224,792,2826,5141,6605,5934,3762,1556,1617,143,0,1266,123,-10,561,561,561,561,549,3239,32,260,74,1357,188,593,506,558,0,1064,1046,0,0,1,281.49,275.19,0.12,0.18,24.3,30.92,20.11,20.96,15.79,15.37,2.26,3.6,150.38,156.44,219.95,-623.89,6.57,111.29,876.62,88.83,803.82,14.07,-3.88,0.62,-1.51,-3.01,-4.48,-3.99,-2.39,-0.47,5.73,9.82,9.1,4.27,0.86,-6.01,143.12,931.51,223.15,-1178.96,-6.61,94.42,116.23,1117.04,97.19,1041.99,27.21,-6.98,-2.23,-5.22,-6.81,-6.64,-5.63,-2.92,0.57,9.73,11.94,10.13,3.93,0.04,-15.55,141.38,1159.18,214,72,85,-130,18,92,39,-57,9,-5,-66,15,55,10,39
MI289W,0,0,2,67969,96,628,498,-23,0,381,43,0,222,758,2633,4939,6422,5740,3558,1374,1625,144,0,1515,98,-9,560,560,560,560,565,3291,23,297,58,1414,183,584,513,558,0,1062,1042,0,0,2,281.63,274.45,0.11,0.16,26.33,33.16,21.61,22.11,17.73,16.31,2.41,4.25,152.06,157.43,220.72,-580.7,6.4,108.53,835.26,85.21,759.2,13.76,-3.47,0.75,-1.29,-2.7,-4.14,-3.54,-2.27,-0.51,5.22,9.7,8.97,4.19,1,-5.77,143.18,894.65,223.62,-1053.26,-6.4,93.15,116.77,1128.96,97.39,1044.91,27.12,-6.11,-2.09,-4.47,-6.21,-5.78,-5.06,-2.55,0.61,9.8,11.9,10.15,3.93,0.27,-14.97,140.72,1164.86,114,156,210,201,-172,25,-30,-176,28,73,-152,-16,59,13,34
MI295N,0,0,2,62053,10,691,563,-2,0,408,43,0,221,1065,3092,5372,6775,6148,4037,1805,1421,154,0,1194,141,3,1113,410,410,645,612,-1724,65,-364,24,-1078,86,370,358,406,50,1018,1039,0,0,2,282.49,276.36,0.11,0.16,27.1,30.31,23.09,23.22,18.66,17.88,2.29,3.01,154.69,160.64,214.37,-315.48,5.42,110.46,848.1,86.43,763.28,13.45,-2.08,1.03,-0.79,-1.69,-1.93,-2,-1.18,-0.37,4.73,9.74,9.37,4.5,1.64,-3.81,151.86,907.68,224.66,-832.71,-6.21,85.14,115.81,1154.86,99.81,1081.53,28.03,-5.05,-1.96,-4.54,-5.21,-4.28,-3.53,-1.81,0.35,10,12.22,10.45,4.17,1,-14.26,139.56,1193.75,-186,145,176,21,-7,119,30,27,75,-3,-5,75,48,-6,-12
